Date,Name / Description,Account,Counterparty,Code,Debit/credit,Amount (PLN),Transaction type,Notifications
2025-02-04,Żabka,PL45116022020000000478251704,Żabka,,D,550.33,Groceries,
2025-01-12,Żabka,PL45116022020000000478251704,Żabka,,D,82.03,Groceries,
2024-07-20,Żabka,PL45116022020000000478251704,Żabka,,D,268.64,Groceries,
2025-06-21,Żabka,PL45116022020000000478251704,Żabka,,D,382.2,Groceries,
2024-06-29,Uber,PL45116022020000000478251704,Uber,,D,451.7,Transport,
2025-05-29,PKO BP ATM,PL45116022020000000478251704,PKO BP ATM,,D,500.0,ATM Withdrawl,
2025-04-17,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,8651.34,Salary,
2024-09-24,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12189.42,Salary,
2024-07-16,Netia,PL45116022020000000478251704,Netia,,D,365.64,Utilities,
2024-11-30,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14572.59,Salary,
2025-01-03,PZU,PL45116022020000000478251704,PZU,,D,540.45,Insurance,
2024-10-30,Żabka,PL45116022020000000478251704,Żabka,,D,134.05,Groceries,
2025-03-16,Spotify,PL45116022020000000478251704,Spotify,,D,492.97,Entertainment,
2025-05-17,Bolt,PL45116022020000000478251704,Bolt,,D,195.77,Transport,
2024-08-29,Netia,PL45116022020000000478251704,Netia,,D,223.25,Utilities,
2024-08-10,PGNiG,PL45116022020000000478251704,PGNiG,,D,70.59,Utilities,
2024-10-22,McDonald's,PL45116022020000000478251704,McDonald's,,D,499.01,Dining,
2025-03-19,Bolt,PL45116022020000000478251704,Bolt,,D,181.91,Transport,
2025-01-06,McDonald's,PL45116022020000000478251704,McDonald's,,D,82.9,Dining,
2025-03-25,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12415.83,Salary,
2025-05-24,Żabka,PL45116022020000000478251704,Żabka,,D,461.81,Groceries,
2025-06-08,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,552.56,Transport,
2024-10-15,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,9182.32,Salary,
2025-06-04,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,564.68,Transport,
2025-05-29,Żabka,PL45116022020000000478251704,Żabka,,D,380.75,Groceries,
2025-02-20,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,10618.7,Salary,
2024-10-04,PKO BP ATM,PL45116022020000000478251704,PKO BP ATM,,D,200.0,ATM Withdrawl,
2024-07-19,Empik,PL45116022020000000478251704,Empik,,D,215.98,Entertainment,
2025-02-06,PZU,PL45116022020000000478251704,PZU,,D,353.03,Insurance,
2024-12-23,Empik,PL45116022020000000478251704,Empik,,D,223.89,Entertainment,
2025-04-27,McDonald's,PL45116022020000000478251704,McDonald's,,D,349.91,Dining,
2024-10-23,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-12-14,Warta,PL45116022020000000478251704,Warta,,D,272.41,Insurance,
2025-02-15,Lidl,PL45116022020000000478251704,Lidl,,D,137.71,Groceries,
2025-03-31,Uber,PL45116022020000000478251704,Uber,,D,586.39,Transport,
2024-07-19,Netia,PL45116022020000000478251704,Netia,,D,467.69,Utilities,
2024-08-29,Żabka,PL45116022020000000478251704,Żabka,,D,246.15,Groceries,
2025-05-23,PZU,PL45116022020000000478251704,PZU,,D,155.12,Insurance,
2025-03-16,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-11-29,ZUS,PL45116022020000000478251704,ZUS,,D,399.44,Tax,
2025-05-11,PGNiG,PL45116022020000000478251704,PGNiG,,D,472.33,Utilities,
2025-02-20,Żabka,PL45116022020000000478251704,Żabka,,D,382.78,Groceries,
2025-01-20,Spotify,PL45116022020000000478251704,Spotify,,D,111.74,Entertainment,
2025-06-02,Uber,PL45116022020000000478251704,Uber,,D,306.17,Transport,
2025-04-30,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,412.26,Dining,
2024-10-06,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,279.77,Dining,
2024-08-04,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,377.77,Tax,
2025-01-30,Veolia,PL45116022020000000478251704,Veolia,,D,363.47,Utilities,
2025-02-12,Compensa,PL45116022020000000478251704,Compensa,,D,344.0,Insurance,
2025-04-25,Biedronka,PL45116022020000000478251704,Biedronka,,D,94.14,Groceries,
2025-01-10,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,327.12,Dining,
2024-11-13,Uber,PL45116022020000000478251704,Uber,,D,320.38,Transport,
2024-08-12,PGNiG,PL45116022020000000478251704,PGNiG,,D,215.27,Utilities,
2025-01-24,Bolt,PL45116022020000000478251704,Bolt,,D,383.2,Transport,
2024-07-05,KFC,PL45116022020000000478251704,KFC,,D,152.63,Dining,
2024-09-12,Żabka,PL45116022020000000478251704,Żabka,,D,338.88,Groceries,
2024-10-30,Netia,PL45116022020000000478251704,Netia,,D,439.36,Utilities,
2024-12-22,Compensa,PL45116022020000000478251704,Compensa,,D,539.93,Insurance,
2025-03-19,Bolt,PL45116022020000000478251704,Bolt,,D,311.41,Transport,
2025-03-22,Warta,PL45116022020000000478251704,Warta,,D,292.33,Insurance,
2024-08-18,Lidl,PL45116022020000000478251704,Lidl,,D,165.2,Groceries,
2024-09-23,KFC,PL45116022020000000478251704,KFC,,D,421.68,Dining,
2024-10-22,KFC,PL45116022020000000478251704,KFC,,D,599.1,Dining,
2025-02-25,Warta,PL45116022020000000478251704,Warta,,D,293.1,Insurance,
2025-03-11,PKO BP Branch,PL45116022020000000478251704,PKO BP Branch,,C,1821.53,Cash Deposit,
2025-05-06,UPC,PL45116022020000000478251704,UPC,,D,440.29,Utilities,
2025-01-06,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-01-15,Żabka,PL45116022020000000478251704,Żabka,,D,171.88,Groceries,
2025-04-06,Biedronka,PL45116022020000000478251704,Biedronka,,D,164.99,Groceries,
2024-09-26,UPC,PL45116022020000000478251704,UPC,,D,193.69,Utilities,
2025-03-06,Netflix,PL45116022020000000478251704,Netflix,,D,324.07,Entertainment,
2025-02-12,PGNiG,PL45116022020000000478251704,PGNiG,,D,78.75,Utilities,
2024-09-16,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,10588.64,Salary,
2024-07-11,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-03-27,Biedronka,PL45116022020000000478251704,Biedronka,,D,76.39,Groceries,
2024-11-14,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,6085.24,Salary,
2024-07-13,Lidl,PL45116022020000000478251704,Lidl,,D,81.66,Groceries,
2025-04-27,Biedronka,PL45116022020000000478251704,Biedronka,,D,158.22,Groceries,
2024-07-30,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,9714.87,Salary,
2025-03-27,Warta,PL45116022020000000478251704,Warta,,D,228.96,Insurance,
2024-07-12,Uber,PL45116022020000000478251704,Uber,,D,394.86,Transport,
2025-02-17,Lidl,PL45116022020000000478251704,Lidl,,D,59.92,Groceries,
2024-07-07,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15954.69,Salary,
2025-05-30,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-03-05,PGNiG,PL45116022020000000478251704,PGNiG,,D,470.33,Utilities,
2025-03-25,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,505.04,Transport,
2024-11-11,Bolt,PL45116022020000000478251704,Bolt,,D,588.67,Transport,
2024-09-21,ING Branch,PL45116022020000000478251704,ING Branch,,C,678.13,Cash Deposit,
2024-12-19,Empik,PL45116022020000000478251704,Empik,,D,169.49,Entertainment,
2025-02-11,PGNiG,PL45116022020000000478251704,PGNiG,,D,279.2,Utilities,
2024-07-12,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,459.44,Dining,
2024-07-01,Biedronka,PL45116022020000000478251704,Biedronka,,D,553.93,Groceries,
2024-12-20,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14085.65,Salary,
2025-06-19,Biedronka,PL45116022020000000478251704,Biedronka,,D,191.59,Groceries,
2024-12-03,Spotify,PL45116022020000000478251704,Spotify,,D,309.34,Entertainment,
2025-02-28,Żabka,PL45116022020000000478251704,Żabka,,D,96.32,Groceries,
2025-04-29,Empik,PL45116022020000000478251704,Empik,,D,178.71,Entertainment,
2025-02-05,KFC,PL45116022020000000478251704,KFC,,D,432.96,Dining,
2025-02-08,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,419.8,Transport,
2025-06-21,Uber,PL45116022020000000478251704,Uber,,D,88.5,Transport,
2025-03-16,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-08-05,Żabka,PL45116022020000000478251704,Żabka,,D,120.93,Groceries,
2024-09-20,ZUS,PL45116022020000000478251704,ZUS,,D,522.55,Tax,
2024-12-30,KFC,PL45116022020000000478251704,KFC,,D,372.83,Dining,
2025-06-02,KFC,PL45116022020000000478251704,KFC,,D,436.4,Dining,
2025-06-05,UPC,PL45116022020000000478251704,UPC,,D,150.16,Utilities,
2025-03-20,Euronet ATM,PL45116022020000000478251704,Euronet ATM,,D,200.0,ATM Withdrawl,
2025-03-06,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15432.26,Salary,
2024-07-02,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,121.43,Tax,
2024-11-19,Warta,PL45116022020000000478251704,Warta,,D,135.32,Insurance,
2024-11-27,PGNiG,PL45116022020000000478251704,PGNiG,,D,435.85,Utilities,
2024-12-25,Warta,PL45116022020000000478251704,Warta,,D,73.12,Insurance,
2024-12-09,Żabka,PL45116022020000000478251704,Żabka,,D,497.92,Groceries,
2024-10-24,McDonald's,PL45116022020000000478251704,McDonald's,,D,104.35,Dining,
2025-02-22,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-12-07,Netia,PL45116022020000000478251704,Netia,,D,75.62,Utilities,
2025-04-16,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,5240.24,Salary,
2025-03-12,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15645.64,Salary,
2024-12-23,Uber,PL45116022020000000478251704,Uber,,D,194.29,Transport,
2024-07-29,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,122.11,Transport,
2025-05-05,PKP Intercity,PL45116022020000000478251704,PKP Intercity,,D,106.07,Transport,
2024-11-10,KFC,PL45116022020000000478251704,KFC,,D,131.82,Dining,
2024-12-13,Bolt,PL45116022020000000478251704,Bolt,,D,288.39,Transport,
2025-02-26,Lidl,PL45116022020000000478251704,Lidl,,D,498.65,Groceries,
2024-12-12,PKO BP ATM,PL45116022020000000478251704,PKO BP ATM,,D,200.0,ATM Withdrawl,
2024-09-26,KFC,PL45116022020000000478251704,KFC,,D,71.11,Dining,
2025-04-08,Netflix,PL45116022020000000478251704,Netflix,,D,118.52,Entertainment,
2025-03-08,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12441.1,Salary,
2025-02-22,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,9145.21,Salary,
2025-06-14,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,10153.41,Salary,
2024-08-03,Netflix,PL45116022020000000478251704,Netflix,,D,229.73,Entertainment,
2024-07-04,Bolt,PL45116022020000000478251704,Bolt,,D,426.92,Transport,
2025-04-29,ING Branch,PL45116022020000000478251704,ING Branch,,C,2421.4,Cash Deposit,
2025-05-19,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-04-26,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,13474.71,Salary,
2025-05-11,Veolia,PL45116022020000000478251704,Veolia,,D,332.77,Utilities,
2025-01-08,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,517.74,Tax,
2024-10-02,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14173.68,Salary,
2025-02-15,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,8943.98,Salary,
2024-09-27,PKO BP Branch,PL45116022020000000478251704,PKO BP Branch,,C,733.44,Cash Deposit,
2025-03-07,Biedronka,PL45116022020000000478251704,Biedronka,,D,375.08,Groceries,
2024-09-29,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-01-05,Netia,PL45116022020000000478251704,Netia,,D,239.29,Utilities,
2024-07-10,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,237.94,Dining,
2025-06-05,Allegro.pl,PL45116022020000000478251704,Allegro.pl,,D,597.7,Entertainment,
2024-11-29,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,9177.42,Salary,
2025-06-05,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-08-11,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,8173.95,Salary,
2025-01-13,McDonald's,PL45116022020000000478251704,McDonald's,,D,224.98,Dining,
2024-12-15,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-05-20,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14872.5,Salary,
2025-02-06,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-07-28,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,8457.6,Salary,
2024-07-02,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,7915.82,Salary,
2024-09-09,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,322.7,Transport,
2024-10-04,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12575.1,Salary,
2025-04-19,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,316.13,Tax,
2025-02-28,Veolia,PL45116022020000000478251704,Veolia,,D,200.51,Utilities,
2024-09-20,Żabka,PL45116022020000000478251704,Żabka,,D,359.13,Groceries,
2025-02-03,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,5079.49,Salary,
2025-02-28,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,13542.33,Salary,
2025-05-27,Veolia,PL45116022020000000478251704,Veolia,,D,69.73,Utilities,
2024-10-26,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,108.02,Dining,
2024-10-05,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-07-02,McDonald's,PL45116022020000000478251704,McDonald's,,D,258.85,Dining,
2025-01-13,Uber,PL45116022020000000478251704,Uber,,D,257.58,Transport,
2024-12-24,Lidl,PL45116022020000000478251704,Lidl,,D,511.39,Groceries,
2024-09-16,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-06-25,Żabka,PL45116022020000000478251704,Żabka,,D,153.43,Groceries,
2025-03-04,PZU,PL45116022020000000478251704,PZU,,D,157.24,Insurance,
2024-12-26,Lidl,PL45116022020000000478251704,Lidl,,D,577.33,Groceries,
2025-03-25,PGNiG,PL45116022020000000478251704,PGNiG,,D,322.54,Utilities,
2025-02-01,Biedronka,PL45116022020000000478251704,Biedronka,,D,85.5,Groceries,
2025-04-26,UPC,PL45116022020000000478251704,UPC,,D,529.71,Utilities,
2025-06-02,Żabka,PL45116022020000000478251704,Żabka,,D,36.46,Groceries,
2024-07-27,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15909.2,Salary,
2024-11-28,Netflix,PL45116022020000000478251704,Netflix,,D,372.69,Entertainment,
2024-08-13,PGNiG,PL45116022020000000478251704,PGNiG,,D,293.82,Utilities,
2025-02-09,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-09-03,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,13437.16,Salary,
2024-12-12,Żabka,PL45116022020000000478251704,Żabka,,D,279.81,Groceries,
2024-09-10,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,9435.66,Salary,
2024-08-28,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,9293.25,Salary,
2024-10-27,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-09-10,Empik,PL45116022020000000478251704,Empik,,D,245.97,Entertainment,
2025-03-07,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,524.99,Transport,
2025-01-28,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,6127.17,Salary,
2024-12-18,Empik,PL45116022020000000478251704,Empik,,D,593.81,Entertainment,
2025-06-05,PZU,PL45116022020000000478251704,PZU,,D,450.67,Insurance,
2024-07-26,Uber,PL45116022020000000478251704,Uber,,D,425.2,Transport,
2024-09-21,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,51.8,Dining,
2024-12-31,Bolt,PL45116022020000000478251704,Bolt,,D,37.13,Transport,
2025-02-07,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,349.03,Tax,
2025-05-09,Spotify,PL45116022020000000478251704,Spotify,,D,522.07,Entertainment,
2024-08-24,Żabka,PL45116022020000000478251704,Żabka,,D,344.41,Groceries,
2024-07-07,ING Branch,PL45116022020000000478251704,ING Branch,,C,1445.66,Cash Deposit,
2025-02-07,Lidl,PL45116022020000000478251704,Lidl,,D,187.78,Groceries,
2025-01-12,McDonald's,PL45116022020000000478251704,McDonald's,,D,238.6,Dining,
2025-06-08,Uber,PL45116022020000000478251704,Uber,,D,354.78,Transport,
2024-10-31,Uber,PL45116022020000000478251704,Uber,,D,521.69,Transport,
2024-08-06,PKO BP Branch,PL45116022020000000478251704,PKO BP Branch,,C,666.11,Cash Deposit,
2025-03-21,PGNiG,PL45116022020000000478251704,PGNiG,,D,87.29,Utilities,
2025-05-31,Empik,PL45116022020000000478251704,Empik,,D,194.47,Entertainment,
2024-07-25,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-07-11,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-03-13,Żabka,PL45116022020000000478251704,Żabka,,D,374.25,Groceries,
2024-08-18,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-07-12,Lidl,PL45116022020000000478251704,Lidl,,D,389.86,Groceries,
2025-01-28,Allegro.pl,PL45116022020000000478251704,Allegro.pl,,D,372.13,Entertainment,
2025-06-20,PKO BP Branch,PL45116022020000000478251704,PKO BP Branch,,C,2232.35,Cash Deposit,
2024-07-17,Lidl,PL45116022020000000478251704,Lidl,,D,348.23,Groceries,
2025-04-18,Żabka,PL45116022020000000478251704,Żabka,,D,445.31,Groceries,
2025-05-27,Bolt,PL45116022020000000478251704,Bolt,,D,230.65,Transport,
2025-03-12,Uber,PL45116022020000000478251704,Uber,,D,154.92,Transport,
2024-09-20,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,11506.13,Salary,
2025-05-17,Uber,PL45116022020000000478251704,Uber,,D,586.72,Transport,
2024-11-09,ING Branch,PL45116022020000000478251704,ING Branch,,C,1340.2,Cash Deposit,
2024-11-07,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15223.87,Salary,
2025-05-31,Spotify,PL45116022020000000478251704,Spotify,,D,426.84,Entertainment,
2025-02-28,Biedronka,PL45116022020000000478251704,Biedronka,,D,493.4,Groceries,
2025-02-17,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,203.47,Transport,
2024-09-22,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14299.47,Salary,
2024-09-23,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12794.78,Salary,
2024-07-22,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,8874.2,Salary,
2024-12-13,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,14812.73,Salary,
2025-01-27,Biedronka,PL45116022020000000478251704,Biedronka,,D,373.03,Groceries,
2024-12-04,Spotify,PL45116022020000000478251704,Spotify,,D,126.38,Entertainment,
2024-08-23,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,154.7,Transport,
2025-02-13,Allegro.pl,PL45116022020000000478251704,Allegro.pl,,D,386.3,Entertainment,
2024-09-08,Netflix,PL45116022020000000478251704,Netflix,,D,292.72,Entertainment,
2025-02-26,Biedronka,PL45116022020000000478251704,Biedronka,,D,555.29,Groceries,
2024-11-25,Empik,PL45116022020000000478251704,Empik,,D,218.06,Entertainment,
2024-08-22,Żabka,PL45116022020000000478251704,Żabka,,D,358.15,Groceries,
2024-12-20,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,8949.05,Salary,
2024-10-15,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,481.23,Dining,
2024-12-15,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2025-01-11,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,7843.6,Salary,
2024-12-08,KFC,PL45116022020000000478251704,KFC,,D,44.28,Dining,
2024-11-04,Biedronka,PL45116022020000000478251704,Biedronka,,D,411.41,Groceries,
2024-08-17,Netflix,PL45116022020000000478251704,Netflix,,D,143.44,Entertainment,
2024-09-01,Spotify,PL45116022020000000478251704,Spotify,,D,226.6,Entertainment,
2024-12-29,Biedronka,PL45116022020000000478251704,Biedronka,,D,124.91,Groceries,
2024-12-22,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,7516.42,Salary,
2024-09-21,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,11789.48,Salary,
2025-02-27,Biedronka,PL45116022020000000478251704,Biedronka,,D,93.18,Groceries,
2024-07-26,Netia,PL45116022020000000478251704,Netia,,D,452.34,Utilities,
2024-06-29,ZUS,PL45116022020000000478251704,ZUS,,D,213.38,Tax,
2024-09-09,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,6171.69,Salary,
2025-05-14,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15840.74,Salary,
2024-10-30,Biedronka,PL45116022020000000478251704,Biedronka,,D,481.47,Groceries,
2024-09-13,ZUS,PL45116022020000000478251704,ZUS,,D,140.64,Tax,
2024-10-20,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-08-01,Netia,PL45116022020000000478251704,Netia,,D,106.1,Utilities,
2024-07-03,Lidl,PL45116022020000000478251704,Lidl,,D,284.69,Groceries,
2024-07-22,Biedronka,PL45116022020000000478251704,Biedronka,,D,172.49,Groceries,
2025-05-19,Biedronka,PL45116022020000000478251704,Biedronka,,D,310.22,Groceries,
2024-09-11,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,8096.79,Salary,
2024-11-17,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,7902.86,Salary,
2025-02-04,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15221.22,Salary,
2024-11-28,Euronet ATM,PL45116022020000000478251704,Euronet ATM,,D,200.0,ATM Withdrawl,
2025-04-14,Netia,PL45116022020000000478251704,Netia,,D,55.9,Utilities,
2025-05-17,UPC,PL45116022020000000478251704,UPC,,D,58.48,Utilities,
2024-07-03,Spotify,PL45116022020000000478251704,Spotify,,D,231.0,Entertainment,
2024-08-27,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-09-10,Uber,PL45116022020000000478251704,Uber,,D,584.02,Transport,
2025-06-13,Uber,PL45116022020000000478251704,Uber,,D,345.28,Transport,
2025-05-26,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,149.66,Transport,
2025-06-14,Netia,PL45116022020000000478251704,Netia,,D,295.5,Utilities,
2025-04-22,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,454.98,Dining,
2024-12-07,Local Bistro,PL45116022020000000478251704,Local Bistro,,D,164.86,Dining,
2025-03-01,ZTM Warsaw,PL45116022020000000478251704,ZTM Warsaw,,D,539.17,Transport,
2024-07-14,Żabka,PL45116022020000000478251704,Żabka,,D,548.49,Groceries,
2024-09-22,Euronet ATM,PL45116022020000000478251704,Euronet ATM,,D,300.0,ATM Withdrawl,
2024-09-28,Empik,PL45116022020000000478251704,Empik,,D,56.35,Entertainment,
2024-09-09,Uber,PL45116022020000000478251704,Uber,,D,530.53,Transport,
2025-04-14,ZUS,PL45116022020000000478251704,ZUS,,D,265.29,Tax,
2025-04-04,PKO BP ATM,PL45116022020000000478251704,PKO BP ATM,,D,500.0,ATM Withdrawl,
2025-04-23,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-11-30,PGNiG,PL45116022020000000478251704,PGNiG,,D,445.39,Utilities,
2024-10-11,Empik,PL45116022020000000478251704,Empik,,D,86.39,Entertainment,
2024-09-09,Spotify,PL45116022020000000478251704,Spotify,,D,549.92,Entertainment,
2024-10-14,McDonald's,PL45116022020000000478251704,McDonald's,,D,381.23,Dining,
2025-05-04,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,15745.23,Salary,
2024-10-20,Netia,PL45116022020000000478251704,Netia,,D,111.39,Utilities,
2024-09-25,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,11676.67,Salary,
2025-06-03,Bolt,PL45116022020000000478251704,Bolt,,D,478.25,Transport,
2024-08-12,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,141.01,Tax,
2024-10-09,Biedronka,PL45116022020000000478251704,Biedronka,,D,209.38,Groceries,
2025-01-29,US Bemowo,PL45116022020000000478251704,US Bemowo,,D,89.54,Tax,
2025-01-17,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,12144.7,Salary,
2024-08-04,PZU,PL45116022020000000478251704,PZU,,D,181.79,Insurance,
2025-05-03,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,6354.15,Salary,
2025-03-10,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,80.44,Dining,
2024-11-11,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,396.99,Dining,
2024-12-23,Lidl,PL45116022020000000478251704,Lidl,,D,31.82,Groceries,
2025-04-09,McDonald's,PL45116022020000000478251704,McDonald's,,D,361.32,Dining,
2024-07-20,PZU,PL45116022020000000478251704,PZU,,D,105.32,Insurance,
2025-04-12,Bolt,PL45116022020000000478251704,Bolt,,D,262.53,Transport,
2024-08-26,Bolt,PL45116022020000000478251704,Bolt,,D,304.78,Transport,
2025-05-31,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,11490.24,Salary,
2025-05-20,Real Estate Bemowo,PL45116022020000000478251704,Real Estate Bemowo,,D,3500.0,Rent,
2024-08-11,Pizza Hut,PL45116022020000000478251704,Pizza Hut,,D,512.21,Dining,
2024-11-01,Company XYZ Salary,PL45116022020000000478251704,Company XYZ Salary,,C,6803.66,Salary,
2025-06-06,Empik,PL45116022020000000478251704,Empik,,D,581.65,Entertainment,
2025-06-02,PGNiG,PL45116022020000000478251704,PGNiG,,D,564.4,Utilities,
2024-09-08,Empik,PL45116022020000000478251704,Empik,,D,206.71,Entertainment,
